Cislo,C15,1;nazev,C50,2;PCA,N11/3,3$
10;Potahová látka - eko kůže vanilka;261.450;
M80-ATYP;Matr.80x195x12;900.000;
1200;Zahr. stůl - druhá jakost;2333.100;
1301;Potahová látka ANDRE 1301;261.450;
1344;Potahová látka ALEHANDRO 1344;261.450;
148;Potahová látka WENECJA 21;261.450;
2057;Potahová látka MAJORKA 2057;261.450;
2203-93;Sedací souprava 3+1+1 RELAX CARLOS;22431.400;
2302;Potahová látka CASABLANCA 2302;261.450;
232;Potahová látka ekokůže CORSIKA 32;261.450;
2334;Potahová látka TUNIS 2334;261.450;
2501;Potahová látka ekokůže PALERMO 2501;261.450;
5664;stočné;0.000;
DESKA bocni-L;;0.000;
4081C;Potahová látka MONTREAL 4081;366.450;
422;Potahová látka jednobarevná žlutá;0.000;
452;Potahová látka jednobarevná kaki;0.000;
483;Potahová látka;0.000;
Z71-HE-723;Židle ŽOFIE;1016.530;
5214;Rošt laťkový  140x200 cm;410.000;
712;Potahová látka TANZANIA 712;261.450;
731;Potahová látka KONGO 731;261.450;
Z27-H-134;Židle IRMA;514.500;
A901-563;Polštář 45x45cm;294.000;
TEM-109178;GATIK VITRINA 721 DUB AANTI/BEZ;0.000;
A01-137-137;Sedací souprava VENEZIA variabilní;11510.000;
Z75-L-1341;Židle EVA;962.810;
R19-vlast.latka;Sedák  polohovací;0.000;
A013-01-01-P;Sedací souprava PISA polštáře 01- VZOR;17146.000;
Z137-H-130;Židle FIONA;1474.500;
A014-234-2332-L;AKCE-Sedací souprava PISA polštáře 4080C;12193.390;
R51-DS-2302;Křeslo pohupovací,kostra pohup.pevné;2243.250;
A015-137-135-P;Sedací souprava PISA prawa;12607.000;
Z519-L-2055;Židle malá buková APOLENKA;390.000;
B711-B;Noční stolek, masiv smrk;549.600;
A018-2313-4084C;Sedací souprava BERNARDO VL;11286.000;
A019-222-2312-L;Sedací souprava MICHELLE;12148.000;
A019-724-VP;Sedací souprava MICHELLE;12148.000;
A025-75;Křeslo FEDERICA RELAX kožené+PVC mahagon;5430.000;
A029-93;Křeslo polohovací oranžová RELAX;5607.000;
S133-seda;;0.000;
VAK-velky;;0.000;
Z69-CA-40;Židle KLAUDIE;1016.530;
Z75-DS-41;Židle EVA;962.810;
A04-1303-VP;Sedačka rozkládací;10357.000;
A04-133-133-VP;Sedací souprava ROMA;10357.000;
A04-2301-2304-L;Sedací souprava ROMA;10357.000;
A04-2324-VP;Sedačka rozkládací;10357.000;
L302-DS;Noční stolek;539.000;
A05-03-03;Pohovka rozkládací;6901.000;
A05-132-133;Pohovka rozkládací;6901.000;
A05-244;AKCE-Pohovka rozkládací ROMA;6274.000;
A067-1306-730;Sedací souprava PARMA PRAVA;10022.000;
A068-1300-1302;Sedací souprava PARMA;8399.000;
Z124-H+vl.latka;;0.000;
Z68-H+vl.latka;;0.000;
A068-2050-1300;Sedací souprava PARMA;8399.000;
A068-730-710-VL;Sedací souprava PARMA;8399.000;
A069-1308-VP;Sedací souprava PARMA;10634.000;
R22-576;Sedák křesla;489.300;
A069-2325-VL;Sedací souprava PARMA - levá;10634.000;
A069-725-725-VP;Sedací souprava PARMA;10634.000;
A070-130-130-VL;Sedací souprava PARMA;11510.000;
A070-201-723-P;AKCE-Sedací souprava PARMA;10464.000;
A070-2326-VP;Sedací souprava PARMA;11510.000;
A070-729-727-VP;Sedací souprava PARMA;11510.000;
A071-2057-2071;Sedací souprava PARMA;13219.000;
A072-130-130-VP;Sedací souprava PARMA;14390.000;
A072-133-136-VL;Sedací souprava PARMA;14390.000;
P161-1308-1300;Pohovka dvojka Jakub - rozkládací;5843.000;
A072-2306-2302P;Sedací souprava PARMA;14390.000;
A258-2323-2326P;Sedací souprava rohová;14286.000;
Z100-CA-2328;Židle čalouněná JIŘINA;1373.550;
R52-HE-2328;Křeslo,kostra pohup.pevné,SEDáK ASPEN20;2774.490;
L080-BEZ;Postel 160x200cm, eko kůže, béžová;7923.000;
S14-P-ATYP;Jídelní stůl zmena rozmeru šírka 85 cm;2940.000;
DESKA - DB;124 X 66 ( BEZ HRANY );0.000;
A111-P-01;Křeslo TIVOLI - VZOR;3561.000;
A120-03-L;Křeslo LAILA;3329.000;
A120-132-T;Křeslo LAILA;3329.000;
A120-2302-M;Křeslo LAILA;3329.000;
5069-A;Závěs NK  dotl. nalož.+pod.92591T S EURO;35.500;
A120-W-133;Křeslo LAILA VZOR;3329.000;
P034-220;Pohovka VELVET;3850.000;
R02-P-26;Křeslo pohupovací terakotá;1564.500;
R04-P-26;Křeslo pohupovací terakotá;1249.500;
A21-1308;Křeslo, čalounění;3905.000;
A213-235-106;Taburet PISA;2158.000;
A231-115-VP;Sedací souprava BONDY (tvaru U);19574.000;
A231-2302-1341A;Sedací souprava BONDY (tvaru U)- ATYP;19574.000;
R07-P-26;Křeslo pohupovací terakotá;768.000;
A233-234-235-VP;Sedací souprava VALENCE s LED osvětlením;19690.000;
R9-CH-T;Kostra křesla,chrom,područky třešeň;1350.000;
Z132-P-861C;Židle OLIVA;2341.500;
Z88-DB-2051;Židle barová PATRICIE;1354.500;
R21-W-41;Podnožka;593.250;
A24-1301;Křeslo, čalounění 1301;3099.000;
R23-05;Sedák křesla;1522.500;
A24-2326;Křeslo;3099.000;
R30-502;Sedák křesla-IGELIT+ZPEVNIT+PODR.+2,5cm;943.950;
R23-ATYP-vl.lát;Sedák křesla- Vlastní látka;1522.500;
R42-DS-1306;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R29-CH-1302;Křeslo chromové;1564.500;
R42-DB-1306;Křeslo polohovací,kostra pohup.oblá;1627.500;
R17-T-1344;Křeslo pohupovací;1627.500;
A25-02;Dvojkřeslo ROMA;4022.000;
A902-864C;Polštář 60x60cm;327.000;
A25-132-133;Dvojkřeslo,;4022.000;
A25-2304;Dvojkřeslo,;4022.000;
A25-244;AKCE-Dvojkřeslo ROMA;3656.200;
R23-503;Sedák křesla;1522.500;
A258-01-P;Sedací souprava rohová VZOR;14286.000;
R50-P-1303;Křeslo chromové,područky přírodní;1950.000;
A282-136-VP;Pohovka LAILA rohová s rozkl.a úl.prost.;16804.000;
A28-2328;Křeslo;3025.000;
Z71-L+vl.látka;Židle ŽOFIE;1016.530;
Z126-L-1303;Židle RADANA;1563.450;
R10-ATYP;Kostra křeslo pohup. bez moření;1215.000;
A301-51-VP;Sedací souprava FORLI bez křesla;26239.500;
A32-1301-1300;Křeslo ušák - KENT;4722.000;
A32-1304-1304;Křeslo ušák - KENT;4722.000;
A32-133-136;Křeslo ušák - KENT;4722.000;
A32-1354-2052;Křeslo ušák - KENT;4722.000;
A32-2309-4301C;AKCE-Křeslo ušák - KENT;4292.560;
A32-2329;Křeslo ušák - KENT;4722.000;
A32-711-2321;Křeslo ušák - KENT;4722.000;
A32-864C-726;Křeslo ušák - KENT;4519.000;
R47-DS-2328;Křeslo pohupovací,kostra pohup.pevná;2572.500;
A36-137-130;Křeslo;2984.000;
A37-03;Křeslo;3444.000;
Z132-W-70;Židle OLIVA;2341.500;
A37-2053-2082;Křeslo;3444.000;
A37-242-1303;Křeslo PARMA;3444.000;
A37-729-715C;Křeslo PARMA;3444.000;
A38-1303-1304;Taburet Parma/A40/;1140.000;
A38-2050-717C;Taburet Parma/A40/;1140.000;
A38-243-727;AKCE-Taburet Parma/A40/;1036.450;
A39-136-133ATYP;Taburet Parma větší/A41/jiný rozměr;1832.000;
A40-01;Taburet čtverec s úlož. prostor., čal.01;1003.000;
A40-1303;Taburet čtverec s úlož. prostor.;1003.000;
A40-133-P;Taburet univerzální;1003.000;
A40-2052;Taburet univerzální;1003.000;
A40-2309;Taburet univerzální;1003.000;
A40-2328-S;Taburet univerzální;1003.000;
A40-722;Taburet čtverec s úlož. prostor.;1003.000;
A41-03;Taburet čtverec s úlož. prostor., čal.03;1593.000;
R44-HE-553;Křeslo polohovací,kostra pohup.oblouk;2929.500;
DESKA-M;modré lamino 50x40 olepené ze 3 stran;0.000;
K11-M-atyp;Konf. stůl TOMÁŠ, hranaté nohy výška 65;1764.000;
A63-1301-342;Sedací souprava RAVENA;11558.000;
A63-136-136-130;Sedací souprava RAVENA;11558.000;
A63-2325-4301VL;Sedací souprava RAVENA, polštáře 4301;11558.000;
A63-724-716C;Sedací souprava RAVENA;11558.000;
Z86-P-505;Židle JANA;1039.500;
A64-1305-1307-L;Sedací souprava CLAUDIA;15518.000;
A64-2323-2326-L;Sedací souprava CLAUDIA;15518.000;
A64-725-721-P;AKCE-Sed.souprava CLAUDIA(polštáře 864C);14107.440;
OB-04;Obraz 4D 100x70;0.000;
A68-1303-1303;Pohovka rozkládací;7060.000;
A68-2057-1354;Pohovka rozkládací;7060.000;
A68-723-725;AKCE-Pohovka rozkládací KANTON;6418.000;
A69-2313-4084C;Pohovka rozkládací;7264.000;
A69-722-340;Pohovka rozkládací;7264.000;
A70-2326-VP;Sedací souprava NAPOLI;10892.000;
Z83-CH-724;Židle chrom KVĚTA;661.500;
A71-1300-1303-L;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-137-130-VP;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
A71-2322-P;Sedací souprava GENOVA;10703.000;
A71-722-VL;Sedací souprava GENOVA;10703.000;
R23-H;Kostra křeslo pohup. hnědé;1050.000;
B742-P;Psací stůl smrk,dvířka+1zásuvka;2823.450;
A78-1302-2082;Sedačka rozkládací, úložný prostor /2ks/;5864.000;
A78-1309-4300C;Sedačka rozkládací, úložný prostor/ 2ks/;5864.000;
A78-2324-2326;Sedačka rozkládací, úložný prostor/ 2ks/;5864.000;
A78-234;Sedačka rozkládací, úložný prostor/ 2ks/;5864.000;
A78-724-4086C;Sedačka rozkládací, úložný prostor/ 2ks/;5864.000;
C109-DBG;Zásuvka pod postel CASPER;690.000;
S519-H;Mini stůl KARLÍK;990.000;
A83-1300-1303;Sedačka mini, rozkládací, úložný prostor;5202.000;
A83-136-2054;Sedačka mini, rozkládací, úložný prostor;5202.000;
A83-2315-2309;Pohovka rozkládací MINI variabilní;5202.000;
A83-2503-4302C;Pohovka rozkládací MINI variabilní;5202.000;
A83-4360C-02;Pohovka rozkládací MINI variabilní;5202.000;
A85-NOV;Pohovka LEON rozklád.postel,novin.vzor;1206.000;
A901-132;Polštář 45x45cm;294.000;
A901-2321;Polštář 45x45cm;294.000;
A901-705;Polštář 45x45cm;294.000;
A902-02;Polštář 60x60cm;327.000;
A902-2333;Polštář 60x60cm;327.000;
ANITA 160x200;Postel Anita-eshop, buk;0.000;
B004-P;Komoda široká 2+1zás.,borovice masiv;1722.000;
C401-DS;Peřináč malý;950.000;
B017-P;Komoda úzká 5zás.,borovice masiv;1678.950;
B022-P;Nádstavec šatní skříně borovice 2dveřový;1540.350;
B028-P;Šatní skříň 3dveřová+3zásuvky BETA 3D/3S;7503.830;
M90-AQUATIC;Matrace AQUATIC MINERAL (90x200x22 cm);0.000;
TEM-111587;MONTANA DUB SON. TRUFL.;0.000;
B062-P;Vitrína prosklená borovice +3zásuvky;3647.700;
Z85-DS-1308;Židle ZDEŇKA;1071.070;
B082-P;Postel 90x200cm,masiv borovice;1399.000;
B091-P;Postel 160x200cm,borovice masiv;4470.000;
B141-P;Jídelní stůl CIRIL 120x71x76cm;1891.050;
B151-P;Policový regál bor.-2police 90cm,masiv;429.450;
B164-P;Židle celodřevěná ZINA masiv borovice;934.500;
B265-P-atyp;Regál, bor., nož.koule+2x police navíc;2346.510;
B172-ATYP;Policový regál smrk-3police 60cm,masiv;603.540;
Z02-D-1307;Židle dubová BESI čaloun.;1350.000;
B204-P;Komoda úzká 6zásuvek,borovice koule;2186.100;
R23-461;Sedák křesla-látka Čína;1522.500;
B230-P;Komoda 3dveřová+3 zásuvky,masiv borovice;4504.500;
B263-P;Vitrína prosklená borovice dvířka,masiv;3884.290;
B402-P-90;Poschoďová dvojpostel HONZÍK;7865.000;
B403-P-90-ATYP;Poschoďová 2postel TONÍČEK vpravo zebrik;7580.000;
B405-HROR-80;Poschoďová dvojpostel ŠIMONEK;6890.000;
B406-LOL-90;Poschoďová dvojpostel FILÍPEK;7760.000;
B407-P-90;Poschoďová dvojpostel VOJTÍŠEK;7865.000;
B408-P-M-90;Poschoďová trojpostel VAŠÍK;7805.000;
B409-P-80;Poschoďová trojpostel DAVÍDEK;7290.000;
B411-P-80;Poschoďová dvojpostel TIBOR;8179.500;
B413-P-90;Poschoďová dvojpostel VALENTÝN;7989.000;
R44-M-2323;Křeslo polohovací,kostra pohup.oblouk;2929.500;
P161-1300-1300;Pohovka dvojka Jakub - rozkládací;5843.000;
B433-P-80;Dvojpostel ANIČKA,smrk masiv;5990.000;
B435-BORU-90ATY;Postel MARCELKA,smrk masiv;3995.000;
B436-LMVA-80;Postel TEREZKA, masiv smrk;3590.000;
B437-P-80;Postel HELENKA, masiv smrk;4190.000;
B439-B-90;Postel EMČA;4068.750;
B440-OLVA-90;Postel SIMONKA;3890.000;
B464-L;Postel 180x200cm, masiv smrk;2399.000;
B444-P-90;Postel ZORA;4209.750;
B445-P-90;Postel NICOL;4209.750;
B450-B;Postel 90x200cm, masiv smrk;1918.800;
B453-P;Postel 160x200cm, masiv smrk;2369.000;
Z519-W-130;Židle malá buková APOLENKA;390.000;
P161-2330;Pohovka dvojka Jakub - rozkládací;5843.000;
R23-CH-1341;Sedák křesla;1522.500;
BRW-3201661;PORTO KOM3D3S modřín sib. sv. - komoda;0.000;
B469-AN;Postel 140x200cm, masiv smrk;3442.800;
B476-ROMANTIK;Postel 90x200cm, masiv smrk,olše+srdce;3014.750;
B480-AN;Postel 200x200cm, masiv smrk;4229.000;
B484-B;Postel 90x200cm, masiv smrk;3166.460;
B486-B;Postel 160x200cm, masiv smrk;4057.200;
B490-P;Postel 140x200cm, masiv smrk;4229.000;
B495-AN;Postel 200x200cm, masiv smrk;4688.000;
B501-W;Postel BAHAMA, 120x200cm, masiv smrk;3690.000;
B503-L;Postel BAHAMA, 160x200cm, masiv smrk;4390.000;
B505-AN;Postel BAHAMA, 200x200cm, masiv smrk;4990.000;
B506-P;Noční stolek BAHAMA, masiv smrk;1390.000;
B508-JA;Komoda BAHAMA, 82x100x38cm, masiv smrk;4190.000;
B510-AN;Skříň 3dveř.+zás, BAHAMA, masiv smrk;8979.000;
B511-RU;Skříň 2dveř.+zás, BAHAMA, masiv smrk;6626.000;
B513-P;Skříň 3dveř.bez zás, BAHAMA, masiv smrk;7695.000;
B515-L;Skříň 1dveř,bez zás,BAHAMA, masiv smrk;4060.800;
B517-DZ;Zásuvka BAHAMA, masiv smrk;990.000;
B518-W;Postel BAHAMA, 90x200cm, masiv smrk;3059.000;
B532-P;Postel ergonomická, 100x200cm,masiv smrk;3690.000;
B603-PRU;Bedna velká HAPPY,masiv smrk;1929.900;
B606-PRU;Skříň 2 dvéřová+zas.HAPPY,masiv smrk;7631.400;
B609-PMO;Postel HAPPY se skluzavkou, 80x180cm;4799.000;
B611-PZE;Postel HAPPY,80x180cm, masiv smrk;3848.000;
B703-AN;Komoda úzká 6zásuvek,smrk masiv;2194.920;
B706-P;Komoda široká 2+6 zás.,smrk masiv;3166.800;
B708-P;Komoda dvířka+4zásuvky,smrk masiv;3250.800;
B710-P;Prádelník dvířka+5zásuvek,smrk masiv;3466.050;
B716-AN;Prádelník 2dvířka+5zás.,smrk masiv;5572.980;
B718-L;Noční stolek, masiv smrk;818.170;
B723-ATYP;Šatní skříň smrk 2dveř,zasouv.dveře-P;9880.000;
B731-B;Prádelník 1dvířka+4zás.,smrk masiv;3344.780;
B733-B;Noční stolek smrk 2zásuvky+otevř.prostor;1178.100;
B735-P-atyp;Truhlice masiv bez moření,bez laku;1564.500;
B740-P;Šatní skříň smrk 3dveř.se zrcadlem;6289.500;
B743-P;Botník výklopný,smrk masiv;1780.800;
B817-L;Komoda úzká 5 zásuvek, masiv smrk;1678.950;
B803-L;Komoda úzká 6zásuvek,smrk masiv;1829.100;
B806-L;Komoda široká 2+6zás.,smrk masiv;3166.800;
B713-W;Komoda široká 2+2zás.,smrk masiv;2300.760;
D110-BB;Věšákový panel;1061.850;
A40-136-132-H;Taburet univerzální;1003.000;
B814-P;Komoda široká 2+4 zásuvky, masiv smrk;2591.400;
R34-W-2332;Křeslo pohupovací,kostra pohup.oblá;1627.500;
B825-OT;Šatní skříň smrk 3dveřová, masiv;6870.600;
B841-P;Skříň trojdveřová, posuvné dveře+zrcadlo;8697.750;
B864-P;Policový regál smrk+2dvířka,masiv;3520.650;
BEN-1192300A;kovový květník - nejmenší kulatý;0.000;
BEN-2386100A;dekorační tác 30x16x3cm;0.000;
BEN-4420;keramická miska - červená;0.000;
BEN-6031200A;dřevěný podnos s uchem - 29 cm;0.000;
BEN-AD112;stolní skříňka se zásuvkami;0.000;
BRW-3200055;INDIANA JBIU2S psací st borovice antická;0.000;
BRW-3201673;PORTO ZRCADLO LUS/50 MOD.SIBIU SVĚTLY;0.000;
BRW-3600681;OPEN REG/50 ořech virginia;0.000;
C010-L;Psací stůl univerzální NICK;1390.000;
C012-DBG;Počítač. stůl rohový STEVE;1490.000;
C052-DS;Kontejner na kolečkách,2 zásuvky ELIOT;990.000;
C054-CEC;Kontejner na kolečkách, čtyři zásuvky;1668.000;
C065-HE;Počítačový stůl JAMES;2490.000;
C102;Regál policový CASPER CEZ /pův.rozměry/;1101.450;
C103-CER;Komoda CASPER /3 šuplíky/;2290.000;
C104-CER;Komoda CASPER - 3šuplíky/obličej/;2290.000;
C105-CEM-P;Skříň malá CASPER;2868.000;
C106-CEZ;Skříň velká CASPER;3590.000;
C107-DBG;Postel 90/200 CASPER;2090.000;
R070-P-21;Dětské pohupovací křeslo-červené;471.000;
R070-P-23;Dětské pohupovací křeslo-modré;471.000;
C117-CEZ;Regál rohový CASPER;1050.000;
R90-P-26;Podnožka terakotá;495.270;
C122-CER;Police 1200 x 210  CASPER;400.000;
C124-CEZ;Skříň velká / obličej CASPER;5300.000;
C126-Z;Zrcadlo CASPER;420.000;
Z69-HE-1303;Židle KLAUDIE;1016.530;
C134-P-ZABRANA;ZABRANA k postelím L212 100cm;650.000;
C170-CEF;Police CASPER;350.000;
C172-Z;Police čtverec CASPER;260.000;
C176-CEC;Věšák CASPER-úchytky červené;140.000;
C307-ZE;Školní lavice výškově nast., polohovací;0.000;
C401-P;Peřináč malý;950.000;
C504-DB;Skříň sestavy Office;2808.750;
C506-DS;Skříň sestavy Office;4305.000;
C509-P;Nádstavec sestavy Office se zámkem;1936.000;
C520-DB;Rohový regál sestavy Office;934.500;
C522-DS;Skříňka sestavy Office;1690.500;
C525-DB;Skříňka sestavy Office;1564.500;
C528-BB;Skříňka sestavy Office;3087.000;
C536-BB;Nádstavec sestavy Office;2532.600;
C543-BB;Rohový stůl 70x70 sestavy Office;995.400;
C545-P;Stůl pod notebook sestavy Office;1302.000;
CON-320620;Věšák kočka;0.000;
CON-330090;Polička venkov 30 př.;0.000;
CS2-FIGURKY;Casper - samolepky figurky;649.000;
D001-DB;Regál policový I.;869.400;
D101-HE;Botník výklopný dvojřadý;1774.500;
D106-DS- ATYP;Lavička- v-45x80x28;651.000;
D108-P;Věšák krátký;136.500;
D10-P;Věšáková stěna;619.500;
D14-HE;Botník;1121.400;
D23-DB;Skříň jednodveřová;2507.400;
D26-DS;Věšáková stěna;3349.500;
D28-P;Botník;1144.500;
D302-DS;Zrcadlo CUBE;535.500;
D306-BB;Dvě police CUBE;642.600;
D309-DSB;Dvě zásuvky CUBE;1501.500;
D311-DSB;Výklopný botník CUBE;1407.000;
D34-DS;Šatní skříň /2ks bal./;3139.500;
D36-P;Nádstavec k šatní skříni;1564.500;
B436-VA-90;Postel TEREZKA;3643.500;
R52-H-1301;Křeslo pohupovací,kostra pohup.pevné;2774.490;
R22-T-4362C;Křeslo pohupovací;1627.500;
E02-105-2;Koberec 140x200cm, 80mm výška vlasu;5173.360;
Z88-HE-220;Židle barová PATRICIE;1354.500;
R35-H-2304;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R52-DS-723;Křeslo pohupovací,kostra pohup.pevné;2774.490;
F23;Přehoz VERSAILLES 240x260cm;944.000;
F54;Přehoz sedák ANDREA žlutý;0.000;
F-8591034201744;Návlek na polštář;0.000;
F-8591034232533;Obraz;0.000;
F-8591034244888;Ubrus pr.90;0.000;
TEM-86601;TOBO KŘESLO;0.000;
K01-B;Konf. stůl MARTIN - ovál;1061.860;
K02-L;Konf. stůl MICHAL - obdélník;884.880;
K04-P;Konf. stůl RENÉ - hrana MDF, přírodní;997.500;
K05-W;Konf. stůl RADEK - hrana MDF,wenge;1039.500;
K07-M;Konf. stůl JIŘÍ - obdélník (oblouk);920.000;
K08-DS;Konf. stůl JAROSLAV - slza;884.880;
K101-AE;Konf. stůl variabilní;525.000;
K101-P;Konf. stůl KAMIL, variabilní;525.000;
K103-AE;Konf. stůl ovál, police, kol.;1564.920;
K105-L;Konf. stůl TOBIAS, čtverec, sklo černé;2089.500;
K107-PE;Konf.st.čtver.,podstavec, Buk tyrol;3139.900;
K10-L;Konf. stůl FILIP, se sklem;1102.500;
K110-DS;Konf. stůl VIKTOR, obdél., zásuvky, sklo;3349.500;
K111-C;Konf. stůl ALEX, obdélník, zásuvka;2832.820;
K112-P;Konf. stůl LÁDÍK, obdélník, police;2719.500;
K113-DB;Konf. stůl ALEŠ, obdélník, podstavec;2299.500;
K114-CE;Konf. stůl čtverec, sklo, police;1373.400;
K115-B;Konf. stůl ALAN, obdélník, sklo, police;2129.400;
K115-T;Konf. stůl obdélník, sklo, police;2129.400;
K116-S;Konf. stůl LUBKO, čtverec, police;945.000;
K119-S;Konf. stůl obdélník, kolečka;2003.400;
K11-W;Konf. stůl TOMÁŠ, hranaté nohy;1470.000;
K1211;Potahová látka hnědá koordynát č.32-37;261.450;
K121-H;Konf. stůl RICHARD, obdélník, police;1669.500;
K121-W;Konf. stůl RICHARD, obdélník, police;1669.500;
K125-T;Konf. stůl DAN, obdélník, police, kol.;1751.400;
K127-C;Konf. stůl SILVESTR, obdélník;1510.740;
K127-T;Konf. stůl SILVESTR, obdélník;1510.740;
K128-S;Konf. stůl ŠIMON čtverec;1384.740;
K12-C;Konf. stůl VÍT, ovál          /2ks bal./;1801.800;
K130-C;Konf. stůl DANIEL čtverec;1636.740;
K131-HE;Konf. stůl ONDŘEJ obdélník;1416.170;
K132-CE;Konf. stůl KLEMENT obdélník;1510.740;
K132-P;Konf. stůl KLEMENT obdélník;1258.950;
K133-H;Konf. stůl ALBERT čtverec;1048.950;
R52-HE-1344;Křeslo,kostra pohup.pevné,SEDáK ASPEN20;2774.490;
K137-S;Konf. stůl MEDARD, se sklem;1976.030;
K139-H;Konf. stůl MOJMÍR,hnědá,čtverec;1701.000;
K208-M;Konf. stůl čtverec, kol.,;1247.400;
K220-B;Konf. stůl EVŽEN;1668.240;
K221-M;Konf. stůl EUGEN, ovál, mahagon;1548.000;
K225-S;Konf. stůl voština 38, kolečka;1599.000;
K41-DS-72;Konf. stůl JAN, dub sonoma, dlažba 72;987.000;
K41-P-71;Konf. stůl JAN, přírodní, dlaž. 71;987.000;
K42-P-73;Konf. stůl PAVEL, přírodní, dlaž.73;1039.500;
K43-H-72;Konf. stůl BOŘEK, hnědý, dlažba 72;1197.000;
K43-P-73;Konf. stůl BOŘEK, přírodní, dlaž. 73;1197.000;
K44-HE-71;Konf. stůl BEN, merano hnědé, dlažba 71;898.800;
K44-P-73;Konf. stůl BEN, přírodní, dlažba 73;898.800;
K45-HE-71;Konf. stůl SEBASTIÁN,mer.hnědé,dlažba 71;1048.950;
K45-P-80;Konf. stůl SEBASTIÁN, přírodní,sklo;1048.950;
K46-H72;Konf. stůl OTMAR, hnědý, dlažba 72;1168.650;
K46-P72;Konf. stůl OTMAR, přírodní, dlažba 72;1168.650;
K51-H;Konf. stůl IGNÁC, ovál MDF+sklo, hnědý;2460.900;
K52-P;Konf. stůl ROMAN, ovál MDF, přírodní;2268.000;
K63-L;Konf. stůl JONÁŠ, obdél., písk. sklo /2k;1774.500;
K71-O;Konf. stůl obdél., nohy chrom /2k;1564.920;
K92-ČB;Konf. stůl MDF117x60x46.5;2925.000;
L049-P;Postel Bára 180x200cm, buk;6499.170;
L206-DS;Postel 200x90 s peřinačem;5990.000;
L208-L;Postel CLAUDIA senior solo 200x90;3270.000;
L212-P-ATYP;Postel solo pro matraci 80x200;1475.000;
L233;Horizontální man.kostra postele 90x200cm;0.000;
L301-DS;Noční stolek ALVIN;890.000;
M80-200-10;Matrace 80x200x10cm;1090.000;
M80-CASPER-ATYP;Matr. přistýlka CASPER 80x180x12;1649.000;
M85-ZDENEK;Matr. ZDENĚK 195x85x20;0.000;
M90-200-15;Matrace 90x200x15cm;1790.000;
M90-BLEND-16;Matr.mikro, líná pěna/12+4cm paměť./;1990.000;
M90-VIGO;Matr.VIGO 200x90x16;1641.080;
MAT-4023351123;Povlak na polštář krep;0.000;
MM120-200-22;Matrace MAXI-120x200x22cm;6212.800;
MM90-200-22;Matrace MAXI-90x200x22cm;4438.000;
MS80-180-8;Matrace dětská 180x80x8;749.000;
OB-04;Obraz 4D 100x70;0.000;
OLA-KOULE M;Skleněná váza-koule malá;0.000;
M80-BARI;Matr.BARI 200x80x14;1499.000;
OS121-CECE;Skříň malá variabilní FELISA;941.860;
R26-M-1307;Trojkřeslo;7738.500;
M160-BARI;Matr.BARI 200x160x14;2718.000;
OS146-P;Police malá ROSELLA;514.500;
M180-BARI;Matr.BARI 200x180x14;2982.000;
M80-PORTO;Matr.PORTO 200x80x16;1299.000;
M90-PORTO;Matr.PORTO 200x90x16;1427.000;
M160-PORTO;Matr.PORTO 200x160x16;2413.000;
OS234-HE;TV stolek NANCY;1352.000;
OS357-ATYP;Obývací sestava LEONARDO-konferenční st.;1399.000;
M180-PORTO;Matr.PORTO 200x180x16;2670.000;
P002-716C-2323;Pohovka;4609.500;
P003-2051-2054;AKCE-Pohovka TULSA;4598.020;
P003-727-722;Pohovka;5058.000;
P015-222-1300;Pohovka PARMA;4268.000;
P015-244-730;Pohovka PARMA;4268.000;
P015-ATYP;Pohovka PARMA;4268.000;
P016-133-133;Pohovka PARMA;7708.000;
P016-220-1300;Pohovka PARMA;7708.000;
P016-2328-ATYP;Pohovka PARMA;7708.000;
P016-729-715C;Pohovka PARMA;7708.000;
P018-724-716C-P;Pohovka TIVOLI;4597.000;
P022-04-H;Pohovka LAILA 2 sed.;5748.000;
P022-137-H;Pohovka LAILA 2 sed.;5748.000;
P023-130-L;Pohovka LAILA 3 sed.;8399.000;
P023-136-S;Pohovka LAILA 3 sed.;8399.000;
P023-2323-T;Pohovka LAILA 3 sed.;8399.000;
P023-H-201;AKCE-Pohovka LAILA 3R sed.;7635.150;
P025-75;Pohovka RELAX kožená+PVC mahagon;11038.000;
P029-92;Pohovka polohovací hnědá RELAX;12599.000;
P034-244;AKCE-Pohovka VELVET;3500.000;
P149-715C;Dvojkřeslo nerozkládací ANTONY;5749.000;
P150-2305-H;Dvojkřeslo rozkládací ANTONY, hnědá;8514.000;
ZK22-M;Kancelář. židle ASYNCHRO UPDOWN;0.000;
R51-P-232;Křeslo pohupovací,kostra pohup.pevné;2243.250;
P161-2328;Pohovka dvojka Jakub - rozkládací;5843.000;
R23-W-1306;Křeslo pohupovací;2572.500;
P250-H-2325;Trojkřeslo rozkládací ANTONY;9090.000;
P50-2323-H;Křeslo ANTONY;4597.000;
P55-1301;Křeslo BONDY;4483.000;
P55-724;Křeslo BONDY;4483.000;
R023-M-FIXACE;Fixace k pohup.křeslu /na pevné/;230.000;
R024-T;Zarážka k houpacímu křeslu -;89.000;
R070-P-24;Dětské pohupovací křeslo-zelené;471.000;
R10-T;Kostra křeslo pohup. třešeň;1215.000;
